ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,lsl_timestamp
0.7749056514485912,-0.14050313158617156,-0.18758785975458825,0.15578254119214047,-0.01244449396242119,-0.09507080882641862,0.10863270357466843,-0.07907908979140552,-0.25033025088267735,0.18955353803362324,1751332165.2856176
0.22301268550621012,0.2819350543844213,0.173444625779509,0.15789250088706164,-0.01847424929245122,-0.04910387970840596,-0.029937169442901895,-0.024259562738510265,0.31120175605776584,0.23874886037012413,1751332165.2860177
0.10314029745509999,0.09435237616617946,-0.41329461028222936,-0.13821395163696076,0.1818264730987831,0.41318101149072883,-0.0759311003362402,0.08830776163290276,0.4233505770842033,-0.2913513294992113,1751332165.2864175
0.013631879963850332,0.15309938012945776,0.13758643659378322,0.17895274942309597,-0.1141779963969641,0.2394556979766052,0.20719982294895706,0.22894283165297624,0.004486263383302325,0.22676102209816246,1751332165.2868176
0.008850358623674587,0.18201651546320236,-0.18575129770960852,0.3500933327393823,0.06734641946027597,0.1354167544848443,0.030572827717494366,0.2820307417162776,0.4604912874419325,-0.24655635371669282,1751332165.2872176
0.6485084691481713,-0.022963367758509406,0.5485849116688193,0.35013038825522314,0.048056532465197116,0.11240273006445625,0.06358113913328715,0.5719348487479798,0.1752662874471842,0.21322221303568015,1751332165.2876177
0.5734140757927468,0.3604280301954834,0.21845125241184266,0.23936762267260014,0.18163269072418792,0.17992628587462733,0.07431453497423607,-0.256856401281474,0.18931334045161047,0.25709686461764514,1751332165.2880175
0.535550866930498,0.19276518937072906,0.37788616613738235,0.10535796787057233,0.24401656916539455,0.4152244002393488,0.3193234853966736,0.4584873257771045,0.4370702405473562,0.17410668502181517,1751332165.2884176
0.1650394185790864,0.15167612758253834,0.3080326778629537,0.14498861951742947,0.4526385068226727,0.42152058435615336,0.6068902336851725,0.03544792173265365,0.3616407987611266,0.41227618931988286,1751332165.2888176
0.07134255024306335,0.4578859963850818,-0.11579545050516582,0.437056955615451,0.41219621056828826,-0.019346510597832378,0.3043311358626764,0.1116652122690005,0.07261469310365731,0.18897592461306698,1751332165.2892175
0.2951317926861784,0.24916722634802693,0.1757791842822889,0.4180357820042697,0.2479402041576665,0.6328302821698869,0.12858159249407913,0.34462602156332484,0.21507314892920557,0.1555957732990803,1751332165.2896175
