ch1,lsl_timestamp,frequencia,num_canais,repeticao
0.00033289901718958634,1751660241.4114501,20,1,1
0.8867429528622932,1751660241.46145,20,1,1
0.17793879685173972,1751660241.51145,20,1,1
-0.8156006385356909,1751660241.5614502,20,1,1
-0.030264874989636485,1751660241.6114502,20,1,1
0.6954787105521276,1751660241.6614501,20,1,1
0.16546013489235023,1751660241.71145,20,1,1
-1.120656133216376,1751660241.76145,20,1,1
0.16156018679851789,1751660241.8114502,20,1,1
0.9475735076009303,1751660241.8614502,20,1,1
-0.23189534938828923,1751660241.9114501,20,1,1
-1.417188170529155,1751660241.96145,20,1,1
-0.10125681310599756,1751660242.01145,20,1,1
0.8805327391961306,1751660242.0614502,20,1,1
-0.22492810336537902,1751660242.1114502,20,1,1
-0.9136286283177024,1751660242.1614501,20,1,1
-0.11160954732467447,1751660242.21145,20,1,1
1.0849948233947806,1751660242.26145,20,1,1
0.27210337319182365,1751660242.3114502,20,1,1
-1.2007158002178804,1751660242.3614502,20,1,1
0.1345910340447859,1751660242.4114501,20,1,1
0.8851014612329161,1751660242.46145,20,1,1
-0.12985017283267633,1751660242.51145,20,1,1
-0.6850894913451978,1751660242.5614502,20,1,1
-0.003580405767504643,1751660242.6114502,20,1,1
0.9468401097094719,1751660242.6614501,20,1,1
-0.3235752955365006,1751660242.71145,20,1,1
-0.8605849100063325,1751660242.76145,20,1,1
-0.015485380007917488,1751660242.8114502,20,1,1
0.702124577442907,1751660242.8614502,20,1,1
0.13784451027113606,1751660242.9114501,20,1,1
-0.8117703874355977,1751660242.96145,20,1,1
0.08681759005590928,1751660243.01145,20,1,1
1.2215309077860494,1751660243.0614502,20,1,1
-0.06977743940705196,1751660243.1114502,20,1,1
-1.1429910739318736,1751660243.1614501,20,1,1
-0.03514862124912569,1751660243.21145,20,1,1
1.263452668619125,1751660243.26145,20,1,1
-0.4316355308963061,1751660243.3114502,20,1,1
-1.3399206657932834,1751660243.3614502,20,1,1
-0.20235487891389284,1751660243.4114501,20,1,1
0.8589856949998876,1751660243.46145,20,1,1
0.01402633945824382,1751660243.51145,20,1,1
-1.085622008583255,1751660243.5614502,20,1,1
0.2626705912782841,1751660243.6114502,20,1,1
1.0436010801696884,1751660243.6614501,20,1,1
-0.06543332152499834,1751660243.71145,20,1,1
-1.41888228467338,1751660243.76145,20,1,1
0.1404932094069041,1751660243.8114502,20,1,1
0.7297757291065727,1751660243.8614502,20,1,1
0.4292397946026759,1751660243.9114501,20,1,1
-1.0903020726479526,1751660243.96145,20,1,1
0.5381471908590643,1751660244.01145,20,1,1
1.165714483610697,1751660244.0614502,20,1,1
-0.034242233879179906,1751660244.1114502,20,1,1
-0.6885208902259652,1751660244.1614501,20,1,1
0.08806718386817684,1751660244.21145,20,1,1
0.764170080285079,1751660244.26145,20,1,1
0.0317875915153671,1751660244.3114502,20,1,1
-1.1946069596607862,1751660244.3614502,20,1,1
0.44164084603840326,1751660244.4114501,20,1,1
1.1675580129990741,1751660244.46145,20,1,1
-0.002428407170876598,1751660244.51145,20,1,1
-1.0091833725875745,1751660244.5614502,20,1,1
0.18701837315936573,1751660244.6114502,20,1,1
0.980541148818754,1751660244.6614501,20,1,1
0.11437490491041541,1751660244.71145,20,1,1
-0.901634235458886,1751660244.76145,20,1,1
0.17773434083591597,1751660244.8114502,20,1,1
1.150044636660772,1751660244.8614502,20,1,1
-0.10490350692251062,1751660244.9114501,20,1,1
-0.9102017195822557,1751660244.96145,20,1,1
0.23158844117273764,1751660245.01145,20,1,1
0.9355165937497021,1751660245.0614502,20,1,1
0.20520409477241566,1751660245.1114502,20,1,1
-0.8838159859136925,1751660245.1614501,20,1,1
0.038545123666457966,1751660245.21145,20,1,1
0.83791837584232,1751660245.26145,20,1,1
0.025648165537448545,1751660245.3114502,20,1,1
-1.4035432522949716,1751660245.3614502,20,1,1
0.13095095366781537,1751660245.4114501,20,1,1
0.9509566023346194,1751660245.46145,20,1,1
-0.21262229289322124,1751660245.51145,20,1,1
-0.7844178044504183,1751660245.5614502,20,1,1
0.08688753156685174,1751660245.6114502,20,1,1
0.8373147676245938,1751660245.6614501,20,1,1
0.24170031313231857,1751660245.71145,20,1,1
-0.6281358930193562,1751660245.76145,20,1,1
-0.23869270546676247,1751660245.8114502,20,1,1
0.9201468764580413,1751660245.8614502,20,1,1
-0.32914989264216543,1751660245.9114501,20,1,1
-1.0820994824122931,1751660245.96145,20,1,1
-0.16928571473717247,1751660246.01145,20,1,1
1.1738943792749155,1751660246.0614502,20,1,1
-0.1397395331047499,1751660246.1114502,20,1,1
-1.1838374050643181,1751660246.1614501,20,1,1
-0.13011202465504046,1751660246.21145,20,1,1
1.1565718240826979,1751660246.26145,20,1,1
-0.061816772678070626,1751660246.3114502,20,1,1
-1.0318985452431633,1751660246.3614502,20,1,1
